TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2020-02-28,SELL,XMR,XMR,65.73,,11989.27,
2020-03-06,SELL,ETH,ETH,194.81,,17345.28,
2020-03-06,SELL,LTC,LTC,48.56,,16098.34,
2020-03-13,SELL,BTC,BTC,5415.2,,23175.46,
2020-03-13,SELL,LINK,LINK,1.9531,,17426.85,
2020-03-13,BUY,PAXG,PAXG,1484.38,27.353045,40602.31,100.0
2020-05-01,SELL,PAXG,PAXG,1687.32,,46153.34,
2020-05-01,BUY,BTC,BTC,9166.1,0.629403,5769.17,12.5
2020-05-01,BUY,ETH,ETH,199.48,28.921032,5769.17,12.5
2020-05-01,BUY,XRP,XRP,0.2117,27254.192401,5769.17,12.5
2020-05-01,BUY,XLM,XLM,0.0699,82512.156173,5769.17,12.5
2020-05-01,BUY,ADA,ADA,0.0491,117570.15381,5769.17,12.5
2020-05-01,BUY,LINK,LINK,3.5872,1608.260305,5769.17,12.5
2020-05-01,BUY,TRX,TRX,0.0155,371198.523192,5769.17,12.5
2020-05-01,BUY,XMR,XMR,57.91,99.622992,5769.17,12.5
2020-05-15,BUY,LTC,LTC,44.18,122.321645,5404.17,11.11
2020-06-12,SELL,XRP,XRP,0.1931,,5852.82,
2020-06-12,SELL,LTC,LTC,44.04,,5792.5,
2020-06-26,SELL,XLM,XLM,0.0684,,7444.18,
2020-07-03,BUY,XRP,XRP,0.2055,33633.95036,6910.77,11.11
2020-07-03,BUY,LTC,LTC,45.34,152.420992,6910.77,11.11
2020-07-03,BUY,XLM,XLM,0.0855,80868.363979,6910.77,11.11
2020-07-17,BUY,BCH,BCH,239.4,27.294926,6534.41,10.0
2020-08-28,SELL,BCH,BCH,264.0,,8186.56,
2020-09-04,SELL,XRP,XRP,0.2392,,8631.94,
2020-09-04,SELL,LTC,LTC,47.86,,8205.2,
2020-09-04,SELL,XLM,XLM,0.0781,,8437.82,
2020-09-04,SELL,ADA,ADA,0.0933,,8069.94,
2020-09-18,SELL,BTC,BTC,10230.7,,13917.16,
2020-09-18,SELL,ETH,ETH,320.12,,13065.76,
2020-09-18,SELL,LINK,LINK,7.6332,,10596.3,
2020-09-18,SELL,TRX,TRX,0.0249,,14033.66,
2020-09-18,SELL,XMR,XMR,87.1,,14713.02,
2020-10-09,BUY,BTC,BTC,11433.1,1.450304,16581.47,25.0
2020-10-09,BUY,XRP,XRP,0.2494,66493.459824,16581.47,25.0
2020-10-09,BUY,TRX,TRX,0.0267,621308.231281,16581.47,25.0
2020-10-09,BUY,XMR,XMR,128.54,128.998554,16581.47,25.0
2020-10-16,BUY,BCH,BCH,259.19,37.266284,9659.05,14.29
2020-10-16,BUY,LTC,LTC,53.13,181.800265,9659.05,14.29
2020-10-16,BUY,XLM,XLM,0.0839,115062.636394,9659.05,14.29
2020-10-23,SELL,XRP,XRP,0.2456,,9433.57,
2020-10-23,SELL,XLM,XLM,0.0784,,9020.8,
2020-10-30,SELL,BCH,BCH,241.28,,12295.61,
2020-10-30,BUY,ETH,ETH,402.68,32.344173,13024.35,20.0
2020-11-06,BUY,BCH,BCH,256.9,45.270334,11629.95,16.67
2020-11-13,SELL,BCH,BCH,247.2,,11190.83,
2020-11-13,BUY,XRP,XRP,0.2937,32336.807478,9496.03,12.5
2020-11-13,BUY,XLM,XLM,0.0838,113367.798242,9496.03,12.5
2020-11-13,BUY,LINK,LINK,13.5769,699.427326,9496.03,12.5
2020-11-20,BUY,BCH,BCH,313.63,33.731256,10579.13,10.0
2020-11-20,BUY,ADA,ADA,0.1552,68157.49458,10579.13,10.0
2020-12-04,SELL,LINK,LINK,12.6161,,9542.7,
2020-12-18,SELL,BCH,BCH,275.23,,10917.42,
2020-12-18,SELL,TRX,TRX,0.025,,9893.66,
2020-12-25,SELL,XRP,XRP,0.2114,,11027.23,
2020-12-25,BUY,BCH,BCH,359.27,38.040407,13666.78,12.5
2020-12-25,BUY,TRX,TRX,0.027,506927.932294,13666.78,12.5
2021-01-01,BUY,DOT,DOT,10.1027,1092.533435,11037.54,11.11
2021-01-01,BUY,LINK,LINK,17.3041,637.85715,11037.54,11.11
2021-01-01,BUY,DOGE,DOGE,0.0105,1055415.713274,11037.54,11.11
2021-01-01,BUY,UNI,UNI,6.393,1726.503602,11037.54,11.11
2021-01-29,BUY,XRP,XRP,0.398,46542.30904,18522.44,10.0
2021-04-30,SELL,BTC,BTC,57497.1,,53136.71,
2021-04-30,SELL,ETH,ETH,3527.69,,65103.03,
2021-04-30,SELL,XRP,XRP,1.6135,,60193.09,
2021-04-30,SELL,ADA,ADA,1.48,,56066.81,
2021-04-30,SELL,LTC,LTC,356.23,,69822.9,
2021-04-30,SELL,DOT,DOT,40.4519,,60357.98,
2021-04-30,SELL,LINK,LINK,49.579,,69372.62,
2021-04-30,SELL,DOGE,DOGE,0.6532,,102410.73,
2021-04-30,SELL,BCH,BCH,1455.76,,81024.3,
2021-04-30,SELL,UNI,UNI,42.473,,50230.93,
